bitsAvgScore,cartAvgScore,proxyAvgScore,tshAvgScore,overallScore,bitsScore0,cartScore0,proxyScore0,tshScore0,overallScore0,projectType,authorName
0.01724475,0.017754365,0.016226343,0.017492781,0.017175214,0.554103092,0.40397856,0.20163323,0.277950193,0.346437147,bits,FYA
0.02254827,0.04032865,0.033055281,0.031272791,0.031232754,0.374934062,0.289193351,0.142884884,0.193804698,0.247604975,cart,FYA
0.012954357,0.021232744,0.022120329,0.019388951,0.018711013,0.232253532,0.175976799,0.089308115,0.123558439,0.159671962,proxy,FYA
0.018874476,0.029168503,0.02886788,0.02952659,0.02641488,0.276026038,0.206607941,0.109394086,0.149556544,0.187785459,tsh,FYA
0.017540538,0.022158967,0.020675848,0.020701891,0.020451229,0.513140128,0.36364365,0.183088238,0.25094575,0.315342062,bits,TJ
0.016572571,0.033969486,0.029358934,0.02695831,0.026231181,0.27114513,0.228184658,0.110407703,0.145942019,0.186302225,cart,TJ
0.020811689,0.036119492,0.034304732,0.033586574,0.030999014,0.210797887,0.161481737,0.088142207,0.117253564,0.148170625,proxy,TJ
0.018228905,0.028073069,0.029587032,0.029850206,0.026207109,0.278911926,0.210413848,0.113670814,0.152462543,0.191291599,tsh,TJ
0.019126844,0.023732275,0.020829504,0.02136324,0.021405374,0.577921199,0.430528154,0.214263795,0.29545999,0.36631809,bits,CX
0.023202165,0.044159793,0.037217583,0.034214516,0.034067762,0.409802869,0.306504955,0.15518647,0.210665512,0.268142284,cart,CX
0.01786677,0.031728866,0.033714249,0.031374525,0.028334893,0.158440942,0.121915131,0.075014473,0.091229484,0.114092376,proxy,CX
0.020980008,0.033942822,0.03511984,0.033117659,0.03063491,0.271307121,0.204694077,0.111499522,0.150051893,0.186677237,tsh,CX
0.018832093,0.020213621,0.018410159,0.019604872,0.019294059,0.605950034,0.464157691,0.231391433,0.318959036,0.391725516,bits,TEMP
0.021536222,0.044287949,0.032939584,0.030837462,0.031607794,0.606425994,0.380167181,0.224834174,0.308205226,0.379890875,cart,TEMP
0.024509038,0.043490281,0.039181382,0.041125401,0.036936202,0.228884334,0.173939564,0.093568357,0.127644655,0.160171952,proxy,TEMP
0.021079394,0.032098684,0.031900699,0.031763901,0.029040454,0.317069883,0.236901589,0.125121721,0.163460005,0.213783519,tsh,TEMP
