featureSimW1,featureSimW2,featureSimW3,featureSimW4
0.01724474970254483,0.017754365060259243,0.016226343179745403,0.01749278074368954
0.022548270453637914,0.04032864950304173,0.03305528099319045,0.0312727907374525
0.012954357499544633,0.02123274405055679,0.022120329485458074,0.019388950861350694
0.018874476466690514,0.029168503433813733,0.02886787961519939,0.02952658972166536
0.017540537542724128,0.022158967127356207,0.02067584785041441,0.02070189085676319
0.01657257128596228,0.033969486238398766,0.02935893421823068,0.026958310000884354
0.020811689498660343,0.036119491617172275,0.03430473158858979,0.033586573880147165
0.01822890469450372,0.028073068956356372,0.029587032287327723,0.029850205914598138
0.01912684355191101,0.023732275088018548,0.020829504172690777,0.02136324039899091
0.02320216521304704,0.044159792676831955,0.03721758295647973,0.03421451568969678
0.01786676970602149,0.03172886558248155,0.03371424904066726,0.03137452524180414
0.020980008295086963,0.033942822100992615,0.03511983950398699,0.033117658934969735
0.0188320925869603,0.02021362139906736,0.018410159460520287,0.019604871900735607
0.021536221722054123,0.04428794905409129,0.03293958406577803,0.030837461736195598
0.02450903795914441,0.04349028098346827,0.03918138157030313,0.041125400811747675
0.021079394443898045,0.03209868367306651,0.03190069938853556,0.03176390118838491
